County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000",Lower 95% Confidence Interval,Upper 95% Confidence Interval,CI*Rank([rank note]),Lower CI (CI*Rank),Upper CI (CI*Rank),Average Annual Count,Recent Trend,Recent 5-Year Trend ([trend note]) in Incidence Rates,Lower 95% Confidence Interval,Upper 95% Confidence Interval
"Leon County, Florida(6)",12073,Urban,19.1 ,-4.0, 0.7,N/A , N/A , N/A,56,stable,-1.7 ,-4.0, 0.7
"Jefferson County, Florida(6)",12065,Urban,19 ,-25.0, 65.7,N/A , N/A , N/A,4,stable,14.8 ,-25.0, 65.7
"Bradford County, Florida(6)",12007,Rural,19 ,-2.2, 9.1,N/A , N/A , N/A,7,stable,2.8 ,-2.2, 9.1
"Holmes County, Florida(6)",12059,Rural,17.9 ,-1.1, 12.7,N/A , N/A , N/A,4,stable,4.6 ,-1.1, 12.7
"Columbia County, Florida(6)",12023,Rural,17.7 ,-3.9, 3.4,N/A , N/A , N/A,16,stable,-0.4 ,-3.9, 3.4
"Suwannee County, Florida(6)",12121,Rural,17.3 ,-3.1, 6.3,N/A , N/A , N/A,10,stable,1.3 ,-3.1, 6.3
"Taylor County, Florida(6)",12123,Rural,16.6 ,-5.3, 2.8,N/A , N/A , N/A,5,stable,-1.4 ,-5.3, 2.8
"Hendry County, Florida(6)",12051,Rural,16.5 ,-4.1, 7.7,N/A , N/A , N/A,7,stable,1.5 ,-4.1, 7.7
"Orange County, Florida(6)",12095,Urban,16.4 ,-7.9, -0.5,N/A , N/A , N/A,234,falling,-2.6 ,-7.9, -0.5
"Dixie County, Florida(6)",12029,Rural,16.2 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Gadsden County, Florida(6)",12039,Urban,15 ,-5.0, 6.6,N/A , N/A , N/A,9,stable,0.5 ,-5.0, 6.6
"Osceola County, Florida(6)",12097,Urban,14.7 ,-2.1, 0.9,N/A , N/A , N/A,58,stable,-0.7 ,-2.1, 0.9
"Jackson County, Florida(6)",12063,Rural,11.1 ,-5.2, 2.7,N/A , N/A , N/A,7,stable,-1.2 ,-5.2, 2.7
"Miami-Dade County, Florida(6)",12086,Urban,8.6 ,-7.5, -2.0,N/A , N/A , N/A,283,falling,-4.2 ,-7.5, -2.0
"Hamilton County, Florida(6)",12047,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Lafayette County, Florida(6)",12067,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Liberty County, Florida(6)",12077,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Madison County, Florida(6)",12079,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"White County, Georgia(7)",13311,Rural,58.6 ,*,*,N/A , N/A , N/A,22,*,*,*,*
"Pickens County, Georgia(7)",13227,Urban,56.1 ,1.9, 9.0,N/A , N/A , N/A,26,rising,4.7 ,1.9, 9.0
"Dawson County, Georgia(7)",13085,Urban,53.2 ,0.6, 8.5,N/A , N/A , N/A,19,rising,3.8 ,0.6, 8.5
"Forsyth County, Georgia(7)",13117,Urban,48 ,-12.7, -2.3,N/A , N/A , N/A,123,falling,-6.3 ,-12.7, -2.3
"Lumpkin County, Georgia(7)",13187,Urban,47.4 ,-24.5, 2.5,N/A , N/A , N/A,18,stable,-8.3 ,-24.5, 2.5
"Habersham County, Georgia(7)",13137,Rural,46 ,1.7, 6.3,N/A , N/A , N/A,26,rising,3.7 ,1.7, 6.3
"Hall County, Georgia(7)",13139,Urban,45 ,1.7, 4.1,N/A , N/A , N/A,103,rising,2.8 ,1.7, 4.1
"Towns County, Georgia(7)",13281,Rural,44.3 ,-1.2, 5.4,N/A , N/A , N/A,10,stable,1.8 ,-1.2, 5.4
"Pike County, Georgia(7)",13231,Urban,42.7 ,3.3, 13.2,N/A , N/A , N/A,9,rising,7.1 ,3.3, 13.2
"Cherokee County, Georgia(7)",13057,Urban,41.9 ,-11.3, 0.1,N/A , N/A , N/A,122,stable,-3.8 ,-11.3, 0.1
"Haralson County, Georgia(7)",13143,Urban,40.7 ,0.5, 7.3,N/A , N/A , N/A,14,rising,3.5 ,0.5, 7.3
"Jasper County, Georgia(7)",13159,Urban,39.4 ,*,*,N/A , N/A , N/A,7,*,*,*,*
"Butts County, Georgia(7)",13035,Urban,38.7 ,2.8, 11.3,N/A , N/A , N/A,11,rising,6.1 ,2.8, 11.3
"Gilmer County, Georgia(7)",13123,Rural,37.6 ,-0.2, 5.4,N/A , N/A , N/A,18,stable,2.1 ,-0.2, 5.4
"Johnson County, Georgia(7)",13167,Rural,34.8 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Columbia County, Georgia(7)",13073,Urban,34.8 ,1.0, 7.1,N/A , N/A , N/A,60,rising,3.5 ,1.0, 7.1
"Rabun County, Georgia(7)",13241,Rural,34.4 ,*,*,N/A , N/A , N/A,9,*,*,*,*
"Walton County, Georgia(7)",13297,Urban,32.8 ,-10.0, 0.7,N/A , N/A , N/A,36,stable,-1.5 ,-10.0, 0.7
"Spalding County, Georgia(7)",13255,Urban,32.5 ,1.9, 5.3,N/A , N/A , N/A,27,rising,3.4 ,1.9, 5.3
"Carroll County, Georgia(7)",13045,Urban,32.4 ,0.9, 4.1,N/A , N/A , N/A,40,rising,2.4 ,0.9, 4.1
"Bryan County, Georgia(7)",13029,Urban,32.1 ,*,*,N/A , N/A , N/A,13,*,*,*,*
"McIntosh County, Georgia(7)",13191,Urban,32 ,*,*,N/A , N/A , N/A,6,*,*,*,*
"Lincoln County, Georgia(7)",13181,Urban,32 ,*,*,N/A , N/A , N/A,5,*,*,*,*
"Monroe County, Georgia(7)",13207,Urban,31.6 ,4.0, 12.7,N/A , N/A , N/A,11,rising,7.2 ,4.0, 12.7
"Pierce County, Georgia(7)",13229,Rural,31.3 ,5.0, 38.1,N/A , N/A , N/A,7,rising,12.4 ,5.0, 38.1
"Fayette County, Georgia(7)",13113,Urban,31.2 ,-1.1, 4.1,N/A , N/A , N/A,49,stable,1.3 ,-1.1, 4.1
"Bleckley County, Georgia(7)",13023,Rural,31 ,*,*,N/A , N/A , N/A,5,*,*,*,*
"Lamar County, Georgia(7)",13171,Rural,30 ,*,*,N/A , N/A , N/A,6,*,*,*,*
"Effingham County, Georgia(7)",13103,Urban,29.9 ,1.9, 6.2,N/A , N/A , N/A,19,rising,3.7 ,1.9, 6.2
"Chatham County, Georgia(7)",13051,Urban,29.8 ,3.7, 7.0,N/A , N/A , N/A,100,rising,5.1 ,3.7, 7.0
"Union County, Georgia(7)",13291,Rural,29.6 ,-4.1, 1.2,N/A , N/A , N/A,15,stable,-1.5 ,-4.1, 1.2
"Barrow County, Georgia(7)",13013,Urban,29.3 ,0.3, 5.9,N/A , N/A , N/A,25,rising,2.8 ,0.3, 5.9
"Houston County, Georgia(7)",13153,Urban,29.1 ,3.0, 7.1,N/A , N/A , N/A,48,rising,4.6 ,3.0, 7.1
"Jones County, Georgia(7)",13169,Urban,29 ,2.3, 11.3,N/A , N/A , N/A,10,rising,5.7 ,2.3, 11.3
"Oglethorpe County, Georgia(7)",13221,Urban,29 ,0.4, 9.8,N/A , N/A , N/A,5,rising,4.3 ,0.4, 9.8
"Stephens County, Georgia(7)",13257,Rural,28.9 ,-1.5, 6.1,N/A , N/A , N/A,11,stable,1.9 ,-1.5, 6.1
"Morgan County, Georgia(7)",13211,Urban,28.4 ,*,*,N/A , N/A , N/A,8,*,*,*,*
"Fulton County, Georgia(7)",13121,Urban,28.2 ,-0.3, 1.7,N/A , N/A , N/A,303,stable,0.8 ,-0.3, 1.7
"Thomas County, Georgia(7)",13275,Rural,28.1 ,-27.9, 0.0,N/A , N/A , N/A,16,stable,-13.7 ,-27.9, 0.0
"Banks County, Georgia(7)",13011,Rural,28 ,-21.7, -0.4,N/A , N/A , N/A,6,falling,-6.5 ,-21.7, -0.4
"Toombs County, Georgia(7)",13279,Rural,27.9 ,*,*,N/A , N/A , N/A,9,*,*,*,*
"Jackson County, Georgia(7)",13157,Rural,27.3 ,0.4, 4.9,N/A , N/A , N/A,22,rising,2.3 ,0.4, 4.9
"Bacon County, Georgia(7)",13005,Rural,26.8 ,*,*,N/A , N/A , N/A,3,*,*,*,*
"McDuffie County, Georgia(7)",13189,Urban,26.6 ,1.4, 7.4,N/A , N/A , N/A,8,rising,3.9 ,1.4, 7.4
"Dodge County, Georgia(7)",13091,Rural,26.4 ,*,*,N/A , N/A , N/A,7,*,*,*,*
"Camden County, Georgia(7)",13039,Rural,26.4 ,*,*,N/A , N/A , N/A,14,*,*,*,*
"Madison County, Georgia(7)",13195,Urban,26.2 ,-2.0, 7.9,N/A , N/A , N/A,10,stable,2.2 ,-2.0, 7.9
"Heard County, Georgia(7)",13149,Urban,26.1 ,*,*,N/A , N/A , N/A,3,*,*,*,*
"Glynn County, Georgia(7)",13127,Urban,25.9 ,0.9, 5.2,N/A , N/A , N/A,30,rising,2.8 ,0.9, 5.2
"Newton County, Georgia(7)",13217,Urban,25.7 ,-1.4, 2.9,N/A , N/A , N/A,29,stable,0.6 ,-1.4, 2.9
"Oconee County, Georgia(7)",13219,Urban,25.6 ,-23.3, 0.5,N/A , N/A , N/A,13,stable,-8.1 ,-23.3, 0.5
"Cobb County, Georgia(7)",13067,Urban,25.6 ,-9.9, -4.0,N/A , N/A , N/A,205,falling,-6.4 ,-9.9, -4.0
"Coweta County, Georgia(7)",13077,Urban,25.3 ,-0.1, 3.1,N/A , N/A , N/A,40,stable,1.4 ,-0.1, 3.1
"Henry County, Georgia(7)",13151,Urban,25.2 ,-1.3, 4.0,N/A , N/A , N/A,58,stable,1.1 ,-1.3, 4.0
"Brantley County, Georgia(7)",13025,Urban,25 ,*,*,N/A , N/A , N/A,5,*,*,*,*
"Elbert County, Georgia(7)",13105,Rural,25 ,1.0, 9.2,N/A , N/A , N/A,6,rising,4.6 ,1.0, 9.2
"Harris County, Georgia(7)",13145,Urban,24.8 ,-44.9, 1.8,N/A , N/A , N/A,11,stable,-26.1 ,-44.9, 1.8
"Crawford County, Georgia(7)",13079,Urban,24.8 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Gwinnett County, Georgia(7)",13135,Urban,24.7 ,-15.2, -1.1,N/A , N/A , N/A,221,falling,-8.7 ,-15.2, -1.1
"Worth County, Georgia(7)",13321,Urban,24.6 ,*,*,N/A , N/A , N/A,7,*,*,*,*
"Pulaski County, Georgia(7)",13235,Rural,24.2 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Baldwin County, Georgia(7)",13009,Rural,24.1 ,-1.5, 5.6,N/A , N/A , N/A,12,stable,1.7 ,-1.5, 5.6
"Wayne County, Georgia(7)",13305,Rural,24 ,1.7, 8.5,N/A , N/A , N/A,9,rising,4.6 ,1.7, 8.5
"Peach County, Georgia(7)",13225,Urban,23.9 ,1.1, 13.1,N/A , N/A , N/A,8,rising,5.8 ,1.1, 13.1
"Fannin County, Georgia(7)",13111,Rural,23.7 ,-1.1, 4.1,N/A , N/A , N/A,10,stable,1.3 ,-1.1, 4.1
"Jefferson County, Georgia(7)",13163,Rural,23.4 ,*,*,N/A , N/A , N/A,5,*,*,*,*
"Tattnall County, Georgia(7)",13267,Rural,23.2 ,*,*,N/A , N/A , N/A,7,*,*,*,*
"Lee County, Georgia(7)",13177,Urban,22.9 ,-0.7, 7.5,N/A , N/A , N/A,8,stable,2.8 ,-0.7, 7.5
"Colquitt County, Georgia(7)",13071,Rural,22.6 ,-5.5, 2.4,N/A , N/A , N/A,12,stable,-1.5 ,-5.5, 2.4
"Bartow County, Georgia(7)",13015,Urban,22.6 ,-2.4, 3.0,N/A , N/A , N/A,26,stable,0.1 ,-2.4, 3.0
"Dade County, Georgia(7)",13083,Urban,22.6 ,*,*,N/A , N/A , N/A,5,*,*,*,*
"Wilkes County, Georgia(7)",13317,Rural,22.4 ,*,*,N/A , N/A , N/A,3,*,*,*,*
"Meriwether County, Georgia(7)",13199,Urban,21.4 ,*,*,N/A , N/A , N/A,6,*,*,*,*
"Ware County, Georgia(7)",13299,Rural,21.4 ,-1.7, 4.4,N/A , N/A , N/A,9,stable,1.3 ,-1.7, 4.4
"Ben Hill County, Georgia(7)",13017,Rural,21.1 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Laurens County, Georgia(7)",13175,Rural,20.6 ,4.9, 12.0,N/A , N/A , N/A,12,rising,7.7 ,4.9, 12.0
"Liberty County, Georgia(7)",13179,Urban,20.6 ,*,*,N/A , N/A , N/A,10,*,*,*,*
"Tift County, Georgia(7)",13277,Rural,20.6 ,-1.7, 5.2,N/A , N/A , N/A,9,stable,1.5 ,-1.7, 5.2
"Putnam County, Georgia(7)",13237,Rural,20.5 ,*,*,N/A , N/A , N/A,7,*,*,*,*
"Burke County, Georgia(7)",13033,Urban,20.4 ,0.2, 7.6,N/A , N/A , N/A,6,rising,3.3 ,0.2, 7.6
"Gordon County, Georgia(7)",13129,Rural,20 ,-1.5, 3.3,N/A , N/A , N/A,13,stable,0.7 ,-1.5, 3.3
"Crisp County, Georgia(7)",13081,Rural,19.9 ,*,*,N/A , N/A , N/A,6,*,*,*,*
"Greene County, Georgia(7)",13133,Rural,19.5 ,*,*,N/A , N/A , N/A,7,*,*,*,*
"Whitfield County, Georgia(7)",13313,Urban,19.4 ,-9.1, 1.7,N/A , N/A , N/A,22,stable,-1.5 ,-9.1, 1.7
"Lowndes County, Georgia(7)",13185,Urban,19.2 ,-0.7, 3.1,N/A , N/A , N/A,21,stable,1.1 ,-0.7, 3.1
"Upson County, Georgia(7)",13293,Rural,19.1 ,-2.1, 7.1,N/A , N/A , N/A,7,stable,2.1 ,-2.1, 7.1
"Catoosa County, Georgia(7)",13047,Urban,18.9 ,-2.2, 2.5,N/A , N/A , N/A,16,stable,0.0 ,-2.2, 2.5
"Bibb County, Georgia(7)",13021,Urban,18.7 ,-16.0, -1.0,N/A , N/A , N/A,35,falling,-6.3 ,-16.0, -1.0
"Franklin County, Georgia(7)",13119,Rural,18.5 ,-1.2, 5.8,N/A , N/A , N/A,6,stable,1.9 ,-1.2, 5.8
"Coffee County, Georgia(7)",13069,Rural,18.4 ,*,*,N/A , N/A , N/A,9,*,*,*,*
"Appling County, Georgia(7)",13001,Rural,18.3 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Grady County, Georgia(7)",13131,Rural,18.1 ,-6.3, 3.6,N/A , N/A , N/A,6,stable,-1.3 ,-6.3, 3.6
"Troup County, Georgia(7)",13285,Rural,17.9 ,-2.9, 4.2,N/A , N/A , N/A,14,stable,0.6 ,-2.9, 4.2
"Douglas County, Georgia(7)",13097,Urban,17.9 ,-3.1, 0.1,N/A , N/A , N/A,25,stable,-1.6 ,-3.1, 0.1
"Paulding County, Georgia(7)",13223,Urban,17.8 ,-18.8, -4.0,N/A , N/A , N/A,29,falling,-7.0 ,-18.8, -4.0
"Hart County, Georgia(7)",13147,Rural,17.8 ,-1.4, 6.7,N/A , N/A , N/A,7,stable,2.1 ,-1.4, 6.7
"Bulloch County, Georgia(7)",13031,Rural,17.7 ,0.1, 6.3,N/A , N/A , N/A,13,rising,2.8 ,0.1, 6.3
"Brooks County, Georgia(7)",13027,Urban,17.5 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Berrien County, Georgia(7)",13019,Rural,17.3 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"DeKalb County, Georgia(7)",13089,Urban,17.2 ,-16.1, -0.7,N/A , N/A , N/A,131,falling,-9.2 ,-16.1, -0.7
"Floyd County, Georgia(7)",13115,Urban,17.1 ,-1.1, 3.3,N/A , N/A , N/A,20,stable,0.9 ,-1.1, 3.3
"Murray County, Georgia(7)",13213,Urban,16.9 ,*,*,N/A , N/A , N/A,8,*,*,*,*
"Emanuel County, Georgia(7)",13107,Rural,16.9 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Sumter County, Georgia(7)",13261,Rural,16.8 ,2.4, 11.6,N/A , N/A , N/A,6,rising,6.2 ,2.4, 11.6
"Walker County, Georgia(7)",13295,Urban,16.7 ,-2.7, 2.2,N/A , N/A , N/A,14,stable,-0.3 ,-2.7, 2.2
"Polk County, Georgia(7)",13233,Rural,16.5 ,-2.9, 3.5,N/A , N/A , N/A,8,stable,0.2 ,-2.9, 3.5
"Clarke County, Georgia(7)",13059,Urban,16.3 ,-4.2, 1.8,N/A , N/A , N/A,18,stable,-0.8 ,-4.2, 1.8
"Cook County, Georgia(7)",13075,Rural,15.9 ,*,*,N/A , N/A , N/A,3,*,*,*,*
"Mitchell County, Georgia(7)",13205,Rural,15.1 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Chattooga County, Georgia(7)",13055,Rural,15 ,-3.5, 7.0,N/A , N/A , N/A,5,stable,1.5 ,-3.5, 7.0
"Rockdale County, Georgia(7)",13247,Urban,14.8 ,-3.7, 0.5,N/A , N/A , N/A,15,stable,-1.7 ,-3.7, 0.5
"Richmond County, Georgia(7)",13245,Urban,14.3 ,0.0, 3.8,N/A , N/A , N/A,32,stable,1.8 ,0.0, 3.8
"Muscogee County, Georgia(7)",13215,Urban,14.2 ,-29.9, -4.6,N/A , N/A , N/A,30,falling,-16.1 ,-29.9, -4.6
"Decatur County, Georgia(7)",13087,Rural,12.2 ,*,*,N/A , N/A , N/A,4,*,*,*,*
"Dougherty County, Georgia(7)",13095,Urban,11.9 ,-2.9, 2.4,N/A , N/A , N/A,12,stable,-0.3 ,-2.9, 2.4
"Clayton County, Georgia(7)",13063,Urban,6.5 ,-35.5, -2.8,N/A , N/A , N/A,16,falling,-21.3 ,-35.5, -2.8
"Atkinson County, Georgia(7)",13003,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Baker County, Georgia(7)",13007,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Calhoun County, Georgia(7)",13037,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Candler County, Georgia(7)",13043,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Charlton County, Georgia(7)",13049,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Chattahoochee County, Georgia(7)",13053,Urban,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Clay County, Georgia(7)",13061,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Clinch County, Georgia(7)",13065,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Dooly County, Georgia(7)",13093,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Early County, Georgia(7)",13099,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Echols County, Georgia(7)",13101,Urban,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Evans County, Georgia(7)",13109,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Glascock County, Georgia(7)",13125,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Hancock County, Georgia(7)",13141,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Irwin County, Georgia(7)",13155,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Jeff Davis County, Georgia(7)",13161,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Jenkins County, Georgia(7)",13165,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Lanier County, Georgia(7)",13173,Urban,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Long County, Georgia(7)",13183,Urban,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Macon County, Georgia(7)",13193,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Marion County, Georgia(7)",13197,Urban,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Miller County, Georgia(7)",13201,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Montgomery County, Georgia(7)",13209,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Quitman County, Georgia(7)",13239,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Randolph County, Georgia(7)",13243,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Schley County, Georgia(7)",13249,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Screven County, Georgia(7)",13251,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Seminole County, Georgia(7)",13253,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Stewart County, Georgia(7)",13259,Urban,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Talbot County, Georgia(7)",13263,Urban,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Taliaferro County, Georgia(7)",13265,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Taylor County, Georgia(7)",13269,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Telfair County, Georgia(7)",13271,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Terrell County, Georgia(7)",13273,Urban,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Treutlen County, Georgia(7)",13283,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Turner County, Georgia(7)",13287,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Twiggs County, Georgia(7)",13289,Urban,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Warren County, Georgia(7)",13301,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Webster County, Georgia(7)",13307,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Wheeler County, Georgia(7)",13309,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Wilcox County, Georgia(7)",13315,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Wilkinson County, Georgia(7)",13319,Rural,* ,*,*,* , * , *,3 or fewer,*,*,*,*
"Hancock County, Maine(6)",23009,Rural,38.2 ,0.2, 4.9,N/A , N/A , N/A,28,rising,2.4 ,0.2, 4.9
"Penobscot County, Maine(6)",23019,Urban,32.4 ,1.5, 6.6,N/A , N/A , N/A,64,rising,3.8 ,1.5, 6.6
"Sagadahoc County, Maine(6)",23023,Urban,31.2 ,-1.6, 6.7,N/A , N/A , N/A,17,stable,2.2 ,-1.6, 6.7
"Waldo County, Maine(6)",23027,Rural,30.1 ,-0.9, 31.3,N/A , N/A , N/A,17,stable,9.8 ,-0.9, 31.3
"Cumberland County, Maine(6)",23005,Urban,29.9 ,-0.6, 2.1,N/A , N/A , N/A,119,stable,0.7 ,-0.6, 2.1
"York County, Maine(6)",23031,Urban,29 ,-0.8, 1.8,N/A , N/A , N/A,86,stable,0.4 ,-0.8, 1.8
"Somerset County, Maine(6)",23025,Rural,28.3 ,1.0, 6.7,N/A , N/A , N/A,19,rising,3.6 ,1.0, 6.7
"Knox County, Maine(6)",23013,Rural,27.9 ,-3.0, 4.4,N/A , N/A , N/A,17,stable,0.6 ,-3.0, 4.4
"Kennebec County, Maine(6)",23011,Rural,26 ,0.1, 4.7,N/A , N/A , N/A,44,rising,2.2 ,0.1, 4.7
"Lincoln County, Maine(6)",23015,Rural,23.8 ,-0.4, 4.7,N/A , N/A , N/A,15,stable,2.0 ,-0.4, 4.7
"Piscataquis County, Maine(6)",23021,Rural,22.5 ,-0.7, 11.7,N/A , N/A , N/A,6,stable,4.6 ,-0.7, 11.7
"Aroostook County, Maine(6)",23003,Rural,19.4 ,0.0, 5.8,N/A , N/A , N/A,17,stable,2.8 ,0.0, 5.8
"Franklin County, Maine(6)",23007,Rural,17.7 ,-4.6, 6.0,N/A , N/A , N/A,8,stable,0.3 ,-4.6, 6.0
"Oxford County, Maine(6)",23017,Rural,14.2 ,-33.6, -0.1,N/A , N/A , N/A,13,falling,-5.9 ,-33.6, -0.1
"Androscoggin County, Maine(6)",23001,Urban,13.5 ,-5.1, 0.2,N/A , N/A , N/A,19,stable,-2.4 ,-5.1, 0.2
"Worcester County, Maryland(6)",24047,Rural,52.9 ,-0.3, 12.5,N/A , N/A , N/A,47,stable,3.4 ,-0.3, 12.5
"Queen Annes County, Maryland(6)",24035,Urban,46.9 ,-1.0, 4.6,N/A , N/A , N/A,31,stable,1.5 ,-1.0, 4.6
"Kent County, Maryland(6)",24029,Rural,41.7 ,-2.5, 10.2,N/A , N/A , N/A,12,stable,3.2 ,-2.5, 10.2
"Carroll County, Maryland(6)",24013,Urban,41.4 ,-15.1, 2.5,N/A , N/A , N/A,88,stable,-6.3 ,-15.1, 2.5
"Calvert County, Maryland(6)",24009,Urban,41.1 ,-0.9, 4.0,N/A , N/A , N/A,45,stable,1.3 ,-0.9, 4.0
"Harford County, Maryland(6)",24025,Urban,39.6 ,1.7, 3.6,N/A , N/A , N/A,126,rising,2.6 ,1.7, 3.6
"Talbot County, Maryland(6)",24041,Rural,37.5 ,-20.4, -3.7,N/A , N/A , N/A,27,falling,-10.2 ,-20.4, -3.7
"Anne Arundel County, Maryland(6)",24003,Urban,36.3 ,0.4, 2.9,N/A , N/A , N/A,244,rising,1.6 ,0.4, 2.9
"Cecil County, Maryland(6)",24015,Urban,35 ,1.6, 5.3,N/A , N/A , N/A,43,rising,3.2 ,1.6, 5.3
"Somerset County, Maryland(6)",24039,Urban,29.9 ,-2.1, 5.4,N/A , N/A , N/A,9,stable,1.5 ,-2.1, 5.4
"Allegany County, Maryland(6)",24001,Rural,29.8 ,-0.1, 9.2,N/A , N/A , N/A,27,stable,4.0 ,-0.1, 9.2
"Frederick County, Maryland(6)",24021,Urban,29.8 ,2.0, 11.2,N/A , N/A , N/A,93,rising,4.3 ,2.0, 11.2
"Howard County, Maryland(6)",24027,Urban,28.8 ,-1.5, 2.4,N/A , N/A , N/A,109,stable,0.4 ,-1.5, 2.4
"Baltimore County, Maryland(6)",24005,Urban,28.8 ,0.8, 2.6,N/A , N/A , N/A,309,rising,1.7 ,0.8, 2.6
"Wicomico County, Maryland(6)",24045,Urban,28.8 ,-2.4, 2.1,N/A , N/A , N/A,34,stable,-0.2 ,-2.4, 2.1
"Garrett County, Maryland(6)",24023,Rural,28.5 ,1.6, 8.1,N/A , N/A , N/A,12,rising,4.4 ,1.6, 8.1
"St. Marys County, Maryland(6)",24037,Urban,24.2 ,-3.0, 2.3,N/A , N/A , N/A,29,stable,-0.4 ,-3.0, 2.3
"Dorchester County, Maryland(6)",24019,Rural,23 ,-3.0, 4.0,N/A , N/A , N/A,11,stable,0.3 ,-3.0, 4.0
"Caroline County, Maryland(6)",24011,Rural,20.8 ,-2.3, 3.6,N/A , N/A , N/A,9,stable,0.5 ,-2.3, 3.6
"Montgomery County, Maryland(6)",24031,Urban,20.5 ,-0.3, 1.8,N/A , N/A , N/A,262,stable,0.7 ,-0.3, 1.8
"Charles County, Maryland(6)",24017,Urban,15.3 ,-2.8, 4.9,N/A , N/A , N/A,29,stable,0.7 ,-2.8, 4.9
"Baltimore City, Maryland(6)",24510,Urban,10.9 ,0.7, 3.5,N/A , N/A , N/A,72,rising,2.0 ,0.7, 3.5
"Prince Georges County, Maryland(6)",24033,Urban,5.6 ,-3.8, -1.1,N/A , N/A , N/A,57,falling,-2.5 ,-3.8, -1.1
"Dukes County, Massachusetts(7)",25007,Rural,26.9 ,-30.8, -1.9,N/A , N/A , N/A,9,falling,-12.4 ,-30.8, -1.9
"Barnstable County, Massachusetts(7)",25001,Urban,26.5 ,-28.0, -7.2,N/A , N/A , N/A,111,falling,-18.1 ,-28.0, -7.2
"Plymouth County, Massachusetts(7)",25023,Urban,22.7 ,-26.6, -6.4,N/A , N/A , N/A,157,falling,-16.6 ,-26.6, -6.4
"Norfolk County, Massachusetts(7)",25021,Urban,22.3 ,-30.6, -9.4,N/A , N/A , N/A,199,falling,-20.3 ,-30.6, -9.4
